"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
2005,4,"4","Kreis 4",0,"00","Grundtarif",7,0,58
2005,4,"4","Kreis 4",1,"01","Verheiratetentarif",3,0,90
2005,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,23.5
2005,5,"5","Kreis 5",0,"00","Grundtarif",15,0,80
2005,5,"5","Kreis 5",1,"01","Verheiratetentarif",20,0,169
2005,5,"5","Kreis 5",2,"02","Einelternfamilientarif",4,0,59
2005,6,"6","Kreis 6",0,"00","Grundtarif",43,4,191
2005,6,"6","Kreis 6",1,"01","Verheiratetentarif",165,27,530
2005,6,"6","Kreis 6",2,"02","Einelternfamilientarif",27,0,116
2005,7,"7","Kreis 7",0,"00","Grundtarif",62,7,333
2005,7,"7","Kreis 7",1,"01","Verheiratetentarif",352,81,1218
2005,7,"7","Kreis 7",2,"02","Einelternfamilientarif",44,2,235
2005,8,"8","Kreis 8",0,"00","Grundtarif",43,3,216
2005,8,"8","Kreis 8",1,"01","Verheiratetentarif",217,32,731
2005,8,"8","Kreis 8",2,"02","Einelternfamilientarif",27,1,146
2005,9,"9","Kreis 9",0,"00","Grundtarif",19,0,112
2005,9,"9","Kreis 9",1,"01","Verheiratetentarif",67,0,268
2005,9,"9","Kreis 9",2,"02","Einelternfamilientarif",1,0,34
2005,10,"10","Kreis 10",0,"00","Grundtarif",35,2,168
2005,10,"10","Kreis 10",1,"01","Verheiratetentarif",146,20,489
2005,10,"10","Kreis 10",2,"02","Einelternfamilientarif",16,0,87
2005,11,"11","Kreis 11",0,"00","Grundtarif",17,0,100
2005,11,"11","Kreis 11",1,"01","Verheiratetentarif",65,0,265
2005,11,"11","Kreis 11",2,"02","Einelternfamilientarif",2,0,35
2005,12,"12","Kreis 12",0,"00","Grundtarif",11,0,75
2005,12,"12","Kreis 12",1,"01","Verheiratetentarif",32,0,168.5
2005,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,13
2006,1,"1","Kreis 1",0,"00","Grundtarif",30,0,211
2006,1,"1","Kreis 1",1,"01","Verheiratetentarif",275,42,943
2006,1,"1","Kreis 1",2,"02","Einelternfamilientarif",37,0,288.5
2006,2,"2","Kreis 2",0,"00","Grundtarif",38,3,200
2006,2,"2","Kreis 2",1,"01","Verheiratetentarif",167,25,541
2006,2,"2","Kreis 2",2,"02","Einelternfamilientarif",13,0,88
2006,3,"3","Kreis 3",0,"00","Grundtarif",20,0,105
2006,3,"3","Kreis 3",1,"01","Verheiratetentarif",52,0,227
2006,3,"3","Kreis 3",2,"02","Einelternfamilientarif",4,0,42
2006,4,"4","Kreis 4",0,"00","Grundtarif",7,0,59
2006,4,"4","Kreis 4",1,"01","Verheiratetentarif",3,0,92
2006,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,28
2006,5,"5","Kreis 5",0,"00","Grundtarif",16,0,82
2006,5,"5","Kreis 5",1,"01","Verheiratetentarif",26,0,187
2006,5,"5","Kreis 5",2,"02","Einelternfamilientarif",9,0,79
2006,6,"6","Kreis 6",0,"00","Grundtarif",43,4,195
2006,6,"6","Kreis 6",1,"01","Verheiratetentarif",174,31,560
2006,6,"6","Kreis 6",2,"02","Einelternfamilientarif",25,0,128
2006,7,"7","Kreis 7",0,"00","Grundtarif",67,7,352
2006,7,"7","Kreis 7",1,"01","Verheiratetentarif",383,88,1307
2006,7,"7","Kreis 7",2,"02","Einelternfamilientarif",44,2,230
2006,8,"8","Kreis 8",0,"00","Grundtarif",47,3,227
2006,8,"8","Kreis 8",1,"01","Verheiratetentarif",218,35,780
2006,8,"8","Kreis 8",2,"02","Einelternfamilientarif",25,0,152
2006,9,"9","Kreis 9",0,"00","Grundtarif",19,0,117
2006,9,"9","Kreis 9",1,"01","Verheiratetentarif",65,0,270
2006,9,"9","Kreis 9",2,"02","Einelternfamilientarif",1,0,38
2006,10,"10","Kreis 10",0,"00","Grundtarif",37,3,175
2006,10,"10","Kreis 10",1,"01","Verheiratetentarif",160,22,519
2006,10,"10","Kreis 10",2,"02","Einelternfamilientarif",16,0,78
2006,11,"11","Kreis 11",0,"00","Grundtarif",18,0,103
2006,11,"11","Kreis 11",1,"01","Verheiratetentarif",62,0,265
2006,11,"11","Kreis 11",2,"02","Einelternfamilientarif",3,0,37
2006,12,"12","Kreis 12",0,"00","Grundtarif",10,0,75
2006,12,"12","Kreis 12",1,"01","Verheiratetentarif",28,0,167
2006,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,14
2007,1,"1","Kreis 1",0,"00","Grundtarif",33,0,220
2007,1,"1","Kreis 1",1,"01","Verheiratetentarif",290,54,1022
2007,1,"1","Kreis 1",2,"02","Einelternfamilientarif",52,4,239
2007,2,"2","Kreis 2",0,"00","Grundtarif",39,3,203
2007,2,"2","Kreis 2",1,"01","Verheiratetentarif",172,24,552.5
